tg_id;id;balance_ap;15353931;20000000;pos
88395309;71403;2660;0,000173246;3464,910712;388
1961718878;83125;2660;0,000173246;3464,910712;389
453162624;49812;2654;0,000172855;3457,095124;390
391406811;129268;2654;0,000172855;3457,095124;391
440087011;17255;2653;0,00017279;3455,792526;392
873972759;59779;2651;0,000172659;3453,18733;393
374957559;91991;2651;0,000172659;3453,18733;394
1580949152;99447;2648;0,000172464;3449,279536;395
2023575322;80945;2646;0,000172334;3446,67434;396
1241433422;14170;2645;0,000172269;3445,371742;397
312998835;48285;2640;0,000171943;3438,858752;398
1763198476;126029;2633;0,000171487;3429,740566;399
130553454;40567;2621;0,000170705;3414,10939;400
105161790;7467;2619;0,000170575;3411,504194;401
1680852618;49038;2619;0,000170575;3411,504194;402
1786889285;50801;2617;0,000170445;3408,898998;403
95632103;3818;2614;0,00017025;3404,991204;404
162286145;48412;2609;0,000169924;3398,478214;405
766982632;111532;2607;0,000169794;3395,873018;406
6378541691;32799;2605;0,000169663;3393,267822;407
1479410116;67067;2601;0,000169403;3388,05743;408
525393790;79487;2598;0,000169207;3384,149636;409
731015729;29746;2594;0,000168947;3378,939244;410
6958138532;33998;2594;0,000168947;3378,939244;411
2058777603;2768;2592;0,000168817;3376,334048;412
1358857648;115546;2592;0,000168817;3376,334048;413
6010694887;24773;2591;0,000168752;3375,03145;414
469373110;20231;2585;0,000168361;3367,215862;415
238987028;93019;2585;0,000168361;3367,215862;416
5116977791;49492;2584;0,000168296;3365,913264;417
715141422;66953;2583;0,000168231;3364,610666;418
6830518598;45033;2579;0,00016797;3359,400273;419
7399956877;2845;2568;0,000167254;3345,071695;420
71585511;136390;2564;0,000166993;3339,861303;421
696832791;26522;2562;0,000166863;3337,256107;422
233913619;48516;2562;0,000166863;3337,256107;423
6829265817;96463;2554;0,000166342;3326,835323;424
210872667;30182;2553;0,000166277;3325,532725;425
477844215;135281;2553;0,000166277;3325,532725;426
73489064;54870;2550;0,000166081;3321,624931;427
38697748;93826;2549;0,000166016;3320,322333;428
6794008096;39717;2547;0,000165886;3317,717137;429
202330047;64730;2546;0,000165821;3316,414539;430
6580254319;83401;2542;0,00016556;3311,204147;431
1289183686;2280;2538;0,0001653;3305,993755;432
1134310163;21898;2538;0,0001653;3305,993755;433
2115875569;36002;2534;0,000165039;3300,783363;434
1200589114;75796;2530;0,000164779;3295,572971;435
6935414569;3561;2526;0,000164518;3290,362579;436
45514691;41778;2526;0,000164518;3290,362579;437
7184358001;33750;2523;0,000164323;3286,454785;438
1034289329;149986;2520;0,000164127;3282,546991;439
451099326;66370;2513;0,000163671;3273,428805;440
1214278864;56570;2512;0,000163606;3272,126207;441
6190089035;89784;2499;0,00016276;3255,192432;442
799104128;75419;2498;0,000162694;3253,889834;443
420059881;30255;2497;0,000162629;3252,587236;444
1118513743;17220;2495;0,000162499;3249,98204;445
5060809098;30271;2493;0,000162369;3247,376844;446
175777801;112073;2491;0,000162239;3244,771648;447
5945754269;4545;2482;0,000161652;3233,048266;448
